date,nav,return
2020-03-02,96212.94520000003,-3.779203182979729
2020-04-01,74003.62029999998,-23.08351007635513
2020-05-01,86078.76659999996,16.316966995734905
2020-06-01,94408.99239999999,9.677445587376754
2020-07-01,96396.74470000001,2.1054692455334534
2020-08-03,103422.06000000003,7.287917576328717
2020-09-01,107347.02249999995,3.7950921689240413
2020-10-01,103672.99999999997,-3.4225658191869957
2020-11-02,102296.3445,-1.327882380176093
2020-12-01,112192.92199999999,9.67441949990695
2021-01-04,113522.93780000001,1.1854721102638077
2021-02-01,117063.5706,3.1188699558125643
2021-03-01,121378.17589999999,3.6856942581589003
2021-04-01,123453.64079999998,1.7099160410104508
2021-05-03,129368.29570000002,4.790992684923756
2021-06-01,132149.22050000002,2.149618486471261
2021-07-01,131302.02600000004,-0.6410892904207377
2021-08-02,132214.82210000002,0.6951881306081154
2021-09-01,137541.48739999998,4.028795875829383
2021-10-01,132210.6774,-3.8757833005665154
2021-11-01,140597.8846,6.343819852480381
2021-12-01,129505.03370000001,-7.889770839411314
2022-01-03,137826.0375,6.425235809193097
2022-02-01,131396.03239999997,-4.665305058922586
2022-03-01,128217.4226,-2.4191063778269517
2022-04-01,136460.35670000003,6.4288720930816945
2022-05-02,127515.17540000002,-6.555150166920242
2022-06-01,126826.76679999998,-0.5398640576234071
2022-07-01,121753.6306,-4.000051667326732
2022-08-01,126749.058,4.102898102818453
2022-09-01,127589.4953,0.6630718312715222
2022-10-03,121925.94690000001,-4.4388829869444475
2022-11-01,131629.50439999998,7.9585664468601935
2022-12-01,135669.43850000005,3.0691706380078676
2023-01-03,128694.27940000003,-5.141289871263099
2023-02-01,132379.93850000005,2.863887281690647
2023-03-01,131705.098,-0.5097755049947028
2023-04-03,132930.26940000002,0.9302384027686017
2023-05-01,134773.27980000005,1.3864490069257496
2023-06-01,133461.8724,-0.973047032724994
2023-07-03,141181.547,5.784179751999341
2023-08-01,143977.55899999998,1.9804372876010445
2023-09-01,143789.70990000002,-0.13047109654078515
2023-10-02,135928.53099999993,-5.467135934460976
2023-11-01,133039.7293,-2.125235724058494
2023-12-01,144118.46130000005,8.327386156219463
2024-01-02,145200.89570000002,0.7510726871741591
2024-02-01,154590.79359999998,6.4668319397977125
2024-03-01,170697.5336,10.418951623778995
2024-04-01,177300.08230000004,3.8679813121799134
2024-05-01,169731.77920000005,-4.268640488950293
2024-06-03,175602.6747,3.458925327756157
2024-07-01,177343.2189000001,0.9911831940906612
2024-08-01,178518.38319999998,0.6626496954825978
2024-09-03,184643.9321,3.4313266735882086
2024-10-01,194555.03680000006,5.367685028843705
2024-11-01,193704.60750000004,-0.437115026157997
2024-12-02,217384.09960000005,12.224537353867525
2025-01-02,207393.17240000004,-4.595978831195069
