date,ticker,px_last,volume
2010-01-04,GLD,109.80000305175781,16224100
2010-01-05,GLD,109.69999694824219,14213100
2010-01-06,GLD,111.51000213623047,24981900
2010-01-07,GLD,110.81999969482422,13609800
2010-01-08,GLD,111.37000274658203,15894600
2010-01-11,GLD,112.8499984741211,17253000
2010-01-12,GLD,110.48999786376953,29182600
2010-01-13,GLD,111.54000091552734,20014000
2010-01-14,GLD,112.02999877929688,18305300
2010-01-15,GLD,110.86000061035156,18002700
2010-01-19,GLD,111.5199966430664,10468200
2010-01-20,GLD,108.94000244140625,17535000
2010-01-21,GLD,107.37000274658203,25748400
2010-01-22,GLD,107.16999816894531,24210100
2010-01-25,GLD,107.4800033569336,13200500
2010-01-26,GLD,107.55999755859375,12297100
2010-01-27,GLD,106.52999877929688,19005100
2010-01-28,GLD,106.4800033569336,16793900
2010-01-29,GLD,105.95999908447266,20278800
2010-02-01,GLD,108.3499984741211,14901900
2010-02-02,GLD,109.12999725341797,14292200
2010-02-03,GLD,108.69999694824219,13393200
2010-02-04,GLD,104.37000274658203,39991900
2010-02-05,GLD,104.68000030517578,32656700
2010-02-08,GLD,104.04000091552734,17176600
2010-02-09,GLD,105.41000366210938,25959200
2010-02-10,GLD,105.12000274658203,16215200
2010-02-11,GLD,107.12999725341797,19350100
2010-02-12,GLD,107.04000091552734,14464200
2010-02-16,GLD,109.62000274658203,20895700
2010-02-17,GLD,109.25,19593400
2010-02-18,GLD,109.9800033569336,19177400
2010-02-19,GLD,109.47000122070312,21928700
2010-02-22,GLD,109.06999969482422,10742800
2010-02-23,GLD,107.88999938964844,13629600
2010-02-24,GLD,107.36000061035156,17207400
2010-02-25,GLD,108.30999755859375,23400400
2010-02-26,GLD,109.43000030517578,13033900
2010-03-01,GLD,109.43000030517578,12830900
2010-03-02,GLD,111.0199966430664,20102200
2010-03-03,GLD,111.62999725341797,16222100
2010-03-04,GLD,110.83000183105469,12944800
2010-03-05,GLD,110.80999755859375,11091400
2010-03-08,GLD,109.87999725341797,12753800
2010-03-09,GLD,109.72000122070312,12650800
2010-03-10,GLD,108.47000122070312,21982100
2010-03-11,GLD,108.5999984741211,9513300
2010-03-12,GLD,107.94999694824219,11849000
2010-03-15,GLD,108.36000061035156,7698600
2010-03-16,GLD,110.4000015258789,17749300
2010-03-17,GLD,109.58999633789062,13784300
2010-03-18,GLD,110.33999633789062,13848400
2010-03-19,GLD,108.27999877929688,24329100
2010-03-22,GLD,107.75,11579400
2010-03-23,GLD,108.31999969482422,11274400
2010-03-24,GLD,106.30000305175781,14236700
2010-03-25,GLD,106.77999877929688,16866700
2010-03-26,GLD,108.58999633789062,17433600
2010-03-29,GLD,108.75,11527000
2010-03-30,GLD,107.97000122070312,9817700
2010-03-31,GLD,108.94999694824219,14006800
2010-04-01,GLD,110.26000213623047,11370500
2010-04-05,GLD,110.88999938964844,8207900
2010-04-06,GLD,111.02999877929688,10322300
2010-04-07,GLD,112.48999786376953,19139500
2010-04-08,GLD,112.6500015258789,12445400
2010-04-09,GLD,113.63999938964844,16427800
2010-04-12,GLD,113.01000213623047,11118900
2010-04-13,GLD,112.69000244140625,11261100
2010-04-14,GLD,113.02999877929688,10572100
2010-04-15,GLD,113.6500015258789,10952100
2010-04-16,GLD,111.23999786376953,24572600
2010-04-19,GLD,111.1500015258789,7993700
2010-04-20,GLD,111.45999908447266,7019800
2010-04-21,GLD,112.30999755859375,6842900
2010-04-22,GLD,111.83999633789062,9598900
2010-04-23,GLD,113.19000244140625,12505800
2010-04-26,GLD,112.75,8335400
2010-04-27,GLD,114.62999725341797,25057100
2010-04-28,GLD,114.30999755859375,26891900
2010-04-29,GLD,114.27999877929688,10374300
2010-04-30,GLD,115.36000061035156,13403100
2010-05-03,GLD,115.7300033569336,13570800
2010-05-04,GLD,114.87000274658203,21512100
2010-05-05,GLD,115.08999633789062,21616700
2010-05-06,GLD,118.48999786376953,50546300
2010-05-07,GLD,118.2699966430664,34272700
2010-05-10,GLD,117.56999969482422,28433800
2010-05-11,GLD,120.66000366210938,36731800
2010-05-12,GLD,121.4000015258789,32703600
2010-05-13,GLD,120.55999755859375,22340400
2010-05-14,GLD,120.37000274658203,34643200
2010-05-17,GLD,119.36000061035156,27898000
2010-05-18,GLD,119.48999786376953,26595300
2010-05-19,GLD,116.62999725341797,34412400
2010-05-20,GLD,115.83999633789062,28908200
2010-05-21,GLD,115.22000122070312,20098300
2010-05-24,GLD,116.83999633789062,14300500
2010-05-25,GLD,117.36000061035156,21232700
2010-05-26,GLD,118.47000122070312,13153500
2010-05-27,GLD,118.69000244140625,10418500
2010-05-28,GLD,118.87999725341797,11579400
2010-06-01,GLD,119.91000366210938,12207800
2010-06-02,GLD,119.77999877929688,10339300
2010-06-03,GLD,117.95999908447266,13855200
2010-06-04,GLD,119.19000244140625,16532500
2010-06-07,GLD,121.48999786376953,20238600
2010-06-08,GLD,121.0,23404800
2010-06-09,GLD,120.55999755859375,12884600
2010-06-10,GLD,118.97000122070312,13687900
2010-06-11,GLD,120.01000213623047,7829400
2010-06-14,GLD,119.5999984741211,11002800
2010-06-15,GLD,120.98999786376953,15073000
2010-06-16,GLD,120.33000183105469,10500500
2010-06-17,GLD,121.9000015258789,19792200
2010-06-18,GLD,122.83000183105469,19429900
2010-06-21,GLD,120.38999938964844,20041700
2010-06-22,GLD,121.44999694824219,12940900
2010-06-23,GLD,120.94999694824219,14120400
2010-06-24,GLD,121.30000305175781,13137700
2010-06-25,GLD,122.76000213623047,9986700
2010-06-28,GLD,121.08999633789062,19650700
2010-06-29,GLD,121.2699966430664,17334700
2010-06-30,GLD,121.68000030517578,12016300
2010-07-01,GLD,117.04000091552734,33248900
2010-07-02,GLD,118.48999786376953,14732800
2010-07-06,GLD,116.51000213623047,16846900
2010-07-07,GLD,117.7300033569336,10930100
2010-07-08,GLD,117.20999908447266,11315100
2010-07-09,GLD,118.36000061035156,9596800
2010-07-12,GLD,117.33999633789062,7506700
2010-07-13,GLD,118.36000061035156,8423700
2010-07-14,GLD,118.30000305175781,9574800
2010-07-15,GLD,118.2300033569336,8586900
2010-07-16,GLD,116.66999816894531,17494400
2010-07-19,GLD,115.7300033569336,15723900
2010-07-20,GLD,116.6500015258789,9263100
2010-07-21,GLD,115.8499984741211,9396200
2010-07-22,GLD,116.86000061035156,8161000
2010-07-23,GLD,116.08999633789062,8337000
2010-07-26,GLD,115.5199966430664,11219000
2010-07-27,GLD,113.51000213623047,29524800
2010-07-28,GLD,113.77999877929688,16071500
2010-07-29,GLD,114.29000091552734,9476300
2010-07-30,GLD,115.48999786376953,10093200
2010-08-02,GLD,115.54000091552734,8473400
2010-08-03,GLD,115.98999786376953,5579400
2010-08-04,GLD,116.72000122070312,10323200
2010-08-05,GLD,116.9800033569336,7023000
2010-08-06,GLD,117.83999633789062,10001700
2010-08-09,GLD,117.4000015258789,6751400
2010-08-10,GLD,117.7300033569336,10444900
2010-08-11,GLD,117.33999633789062,12436900
2010-08-12,GLD,118.7699966430664,12327000
2010-08-13,GLD,118.73999786376953,10213200
2010-08-16,GLD,119.7300033569336,8948300
2010-08-17,GLD,119.75,9145400
2010-08-18,GLD,120.22000122070312,12102500
2010-08-19,GLD,120.38999938964844,10014500
2010-08-20,GLD,119.97000122070312,10682100
