date,NAV
2020-01-02,1.0
2020-01-03,1.0
2020-01-06,1.0
2020-01-07,1.0
2020-01-08,1.0
2020-01-09,1.0
2020-01-10,1.0
2020-01-13,1.0
2020-01-14,1.0
2020-01-15,1.0
2020-01-16,1.0
2020-01-17,1.0
2020-01-21,1.0
2020-01-22,1.0
2020-01-23,1.0
2020-01-24,1.0
2020-01-27,1.0
2020-01-28,1.0
2020-01-29,1.0
2020-01-30,1.0
2020-01-31,1.0
2020-02-03,1.007553299601028
2020-02-04,1.022294277143768
2020-02-05,1.0219442758100281
2020-02-06,1.020177612982831
2020-02-07,1.0178097436601308
2020-02-10,1.0313122487541972
2020-02-11,1.035924476578053
2020-02-12,1.0428096845863895
2020-02-13,1.0530513091118392
2020-02-14,1.0602591336249796
2020-02-18,1.0584450034407875
2020-02-19,1.0623725306223657
2020-02-20,1.0564832276293632
2020-02-21,1.0410943201346
2020-02-24,1.015318422104196
2020-02-25,0.983932382186879
2020-02-26,0.9750544448982612
2020-02-27,0.9365729837875412
2020-02-28,0.9288565639407006
2020-03-02,0.9530980158093988
2020-03-03,0.9443222717514241
2020-03-04,0.9678120273168375
2020-03-05,0.9512173619619465
2020-03-06,0.9378066779603808
2020-03-09,0.8927547427550013
2020-03-10,0.9128509691979265
2020-03-11,0.8863277157449118
2020-03-12,0.8381273050110565
2020-03-13,0.8708679628181577
2020-03-16,0.8080390057397739
2020-03-17,0.8297803198270064
2020-03-18,0.7930696798883821
2020-03-19,0.805256304884391
2020-03-20,0.7856368291268102
2020-03-23,0.7731441257003431
2020-03-24,0.8258621444035336
2020-03-25,0.8425652183190271
2020-03-26,0.8747486073822218
2020-03-27,0.8590218367226203
2020-03-30,0.869791318154571
2020-03-31,0.8581527458023448
2020-04-01,0.8512461627326773
2020-04-02,0.8531025679707613
2020-04-03,0.8506684266142936
2020-04-06,0.8612773355456047
2020-04-07,0.8605486557308247
2020-04-08,0.8665650119451223
2020-04-09,0.8706696126847216
2020-04-13,0.8687245294926245
2020-04-14,0.8736383540761427
2020-04-15,0.8710614034244162
2020-04-16,0.8723872601500088
