date,n_long,n_short,vol_factor,dd_factor,total_exposure,turnover,cost_bps
2020-01-31,53,0,1.0,1.0,1.0,1.0,10.0
2020-02-28,53,0,0.7400015779250732,0.75,0.5550011834438048,0.7969546866611426,7.9695468666114255
2020-03-31,54,0,0.34053941181270475,0.5,0.17026970590635235,0.508913438768859,5.089134387688589
2020-04-30,54,0,0.39063097966762483,0.5,0.19531548983381247,0.14822444815336505,1.4822444815336506
2020-05-29,54,0,0.4344217287126856,0.5,0.21721086435634276,0.20707933789104174,2.0707933789104174
2020-06-30,54,0,0.47706693668074773,0.5,0.23853346834037387,0.17237919604058577,1.7237919604058576
2020-07-31,53,0,0.4779931203360284,0.75,0.3584948402520214,0.2172848601119409,2.172848601119409
2020-08-31,54,0,0.5189220255064204,0.75,0.38919151912981526,0.3210942785595843,3.210942785595843
2020-09-30,54,0,1.9388101774140887,0.75,1.4541076330605665,1.3410823603699318,13.410823603699317
2020-10-30,53,0,0.9970234630008208,0.5,0.4985117315004104,1.1698830955782917,11.698830955782919
2020-11-30,54,0,0.939737641314231,0.75,0.7048032309856732,0.4711531955653589,4.711531955653589
2020-12-31,54,0,0.9280696570019373,0.75,0.6960522427514529,0.4704284983633483,4.7042849836334835
2021-01-29,54,0,0.8745997691809404,0.75,0.6559498268857055,0.5733655008471413,5.7336550084714135
2021-02-26,54,0,0.8400594649969036,1.0,0.8400594649969036,0.6241267943395049,6.241267943395049
2021-03-31,54,0,0.7545908016643589,1.0,0.754590801664359,1.0619644843182425,10.619644843182424
2021-04-30,54,0,0.9097087648004033,1.0,0.9097087648004031,0.6001442684569398,6.001442684569398
2021-06-30,54,0,0.8897208489068056,1.0,0.8897208489068055,0.6716072238140894,6.716072238140895
2021-07-30,54,0,0.82751954885881,1.0,0.8275195488588101,0.570000877341405,5.7000087734140505
2021-08-31,54,0,0.85943040482534,1.0,0.8594304048253399,0.8037847929487741,8.037847929487741
2021-09-30,54,0,0.8890194933200081,1.0,0.8890194933200083,0.5647918869772759,5.647918869772759
2021-10-29,54,0,0.8759865397593287,1.0,0.8759865397593285,0.7478507156613046,7.4785071566130465
2021-11-30,54,0,0.9048524553318601,1.0,0.9048524553318601,0.832379647664273,8.32379647664273
2021-12-31,54,0,0.7823717619980847,1.0,0.7819945569744244,0.7061002617874367,7.061002617874366
2022-01-31,54,0,0.7939042107280817,1.0,0.7932046573000611,0.6186632720925391,6.186632720925391
2022-02-28,54,0,0.7524917924379358,1.0,0.7524917924379357,0.7629110512325091,7.6291105123250915
2022-03-31,54,0,0.7426928183664439,1.0,0.7426928183664439,0.779628133212336,7.79628133212336
2022-04-29,54,0,0.7206387513530479,1.0,0.7206387513530477,0.647857484376957,6.47857484376957
2022-05-31,54,0,0.6619079008533385,1.0,0.6619079008533385,0.6038703966419988,6.038703966419988
2022-06-30,54,0,0.6887935515006861,0.75,0.5165951636255145,0.5657097851399407,5.657097851399407
2022-07-29,54,0,0.7122609609523604,1.0,0.7122609609523602,0.46062649058478156,4.606264905847816
2022-08-31,54,0,0.7916567268652545,1.0,0.7916567268652545,0.6083626529977371,6.08362652997737
2022-09-30,54,0,0.7824015751358435,0.75,0.5868011813518826,0.4861999301412162,4.861999301412162
2022-10-31,54,0,0.7879761873199215,1.0,0.7879761873199216,0.5352530418222974,5.352530418222974
2022-11-30,54,0,0.8839944608949212,1.0,0.8839944608949214,0.5014461631725857,5.014461631725857
2022-12-30,54,0,0.9534041793409098,1.0,0.9534041793409096,0.6424599923148546,6.424599923148546
2023-01-31,55,0,0.9157955818722656,1.0,0.9157955818722656,0.5508930851949378,5.508930851949379
2023-02-28,55,0,0.9277915620072672,1.0,0.9277915620072672,0.8719316398190066,8.719316398190065
2023-03-31,55,0,0.8842770566815843,1.0,0.8842770566815843,0.6768760883559317,6.768760883559317
2023-04-28,55,0,0.9335340073631695,1.0,0.9335340073631695,0.6750795135155895,6.7507951351558955
2023-05-31,55,0,0.9795539128480291,1.0,0.9795539128480291,0.8006664789987828,8.006664789987829
2023-06-30,55,0,1.0122565357953774,1.0,1.0122565357953777,0.8930648201817484,8.930648201817483
2023-07-31,55,0,1.053364281261836,1.0,1.053364281261836,0.629131845011721,6.291318450117211
2023-08-31,55,0,0.9867704867910121,1.0,0.9867704867910123,0.9195721300199413,9.195721300199413
2023-09-29,55,0,1.0869751369826093,1.0,1.0869751369826095,0.8998267817654627,8.998267817654627
2023-10-31,55,0,0.9478854811978215,1.0,0.9478854811978216,1.0503664065131988,10.503664065131987
2023-11-30,55,0,0.9048280385247887,1.0,0.9048280385247887,0.8962541833747657,8.962541833747657
2023-12-29,55,0,0.9051462457848001,1.0,0.9051462457848001,0.7987435147446308,7.987435147446308
2024-01-31,55,0,0.8886758584352393,1.0,0.8886758584352391,0.5852135765806177,5.852135765806176
2024-02-29,55,0,0.9065687118153865,1.0,0.9065687118153862,0.7800777150136122,7.800777150136122
2024-04-30,55,0,1.2007542453135134,1.0,1.2007542453135132,1.1721322197631014,11.721322197631014
2024-05-31,55,0,1.1599918596384775,1.0,1.1599918596384773,1.0586362875071846,10.586362875071847
2024-06-28,55,0,1.1493626103552461,1.0,1.1493626103552463,0.8340081446188717,8.340081446188718
2024-07-31,55,0,1.0353905541117354,1.0,1.0353905541117356,0.6911397415888023,6.911397415888023
2024-08-30,55,0,0.9140021692324104,1.0,0.9140021692324102,0.9870695593682687,9.870695593682687
2024-09-30,55,0,0.8812651629086528,1.0,0.8774998110232136,0.8199959146448262,8.199959146448263
2024-10-31,55,0,0.8458720174394105,1.0,0.8416118049600297,0.656826373879843,6.56826373879843
2024-11-29,55,0,0.8506681340520488,1.0,0.8462594869131622,0.786398893205511,7.86398893205511
2024-12-31,55,0,0.8100557558223611,1.0,0.8068761220865761,0.6931390258735833,6.931390258735834
2025-01-31,55,0,0.8312298673442309,1.0,0.8256778030514551,0.5995973905431903,5.995973905431903
2025-02-28,55,0,0.9106445142342392,1.0,0.9034838384402961,0.5939595574137149,5.939595574137149
2025-03-31,55,0,0.7766560619226734,1.0,0.7672544049438065,0.6308038027689338,6.308038027689338
2025-04-30,55,0,0.5830777372793785,1.0,0.5792772731148659,0.58751745446356,5.875174544635599
2025-05-30,55,0,0.6029568318853442,1.0,0.6010515595067916,0.5077229311526659,5.077229311526659
2025-06-30,55,0,0.6265710470139816,1.0,0.6265710470139816,0.49272079695114923,4.9272079695114925
2025-07-31,55,0,0.6482301806600398,1.0,0.6470030353701762,0.4433017804917612,4.433017804917612
2025-08-29,55,0,0.6706088026733883,1.0,0.6706088026733885,0.49278937356540436,4.927893735654044
