date,n_long,n_short,vol_factor,dd_factor,total_exposure,turnover,cost_bps
2010-01-29,47,0,1.0,1.0,0.999879577093385,0.999879577093385,9.99879577093385
2010-02-26,46,0,0.7585752117664805,1.0,0.7585752117664804,0.8228206167959381,8.228206167959382
2010-03-31,46,0,0.8539488412117091,1.0,0.8539124473448707,0.5483920338505429,5.483920338505429
2010-04-30,47,0,0.7904584466695501,1.0,0.7902099177389199,0.720571948031163,7.20571948031163
2010-06-30,47,0,0.6399872735286648,1.0,0.6399872735286649,0.805662057082503,8.05662057082503
2010-07-30,46,0,0.611520808473971,1.0,0.611520808473971,0.6152629244592173,6.152629244592172
2010-08-31,47,0,0.6588835926714064,1.0,0.6588835926714064,0.5803690001722945,5.803690001722946
2010-09-30,45,0,0.6549200344214939,1.0,0.6549200344214938,0.7357756549403949,7.357756549403949
2010-10-29,46,0,0.7081733685357362,1.0,0.7061277382737075,0.6862588876441713,6.862588876441713
2010-11-30,46,0,1.1097272321529796,1.0,1.1097272321529796,0.8941034861060756,8.941034861060755
2010-12-31,46,0,1.042945153351417,1.0,1.0429451533514167,0.9599721322482255,9.599721322482255
2011-01-31,48,0,1.071471624377194,1.0,1.069881416022945,0.9823243911246552,9.823243911246552
2011-02-28,48,0,1.014051659740046,1.0,1.0138090902111887,0.6725229829592737,6.725229829592737
2011-03-31,47,0,0.9045273876146035,1.0,0.9045273876146034,0.8892255658765535,8.892255658765535
2011-04-29,48,0,0.88306967202511,1.0,0.88306967202511,0.787639526293911,7.87639526293911
2011-05-31,47,0,0.8548640976018708,1.0,0.8548640976018707,0.7149700440033067,7.149700440033066
2011-06-30,48,0,0.7942995585513392,1.0,0.794299558551339,0.6814692220770613,6.814692220770612
2011-07-29,47,0,0.7834544218549686,1.0,0.7834544218549687,0.640508343081788,6.4050834308178795
2011-08-31,48,0,0.5174970527766217,1.0,0.5174970527766217,0.6140257214509969,6.140257214509968
2011-09-30,48,0,0.5207007048140904,0.75,0.3905255286105678,0.39312193381259725,3.9312193381259726
2011-10-31,48,0,0.5179530637687522,1.0,0.5179530637687522,0.37943872943511947,3.7943872943511945
2011-11-30,48,0,0.51965957425818,1.0,0.51965957425818,0.44349982216755895,4.434998221675589
2011-12-30,48,0,0.5358138068327458,1.0,0.5358138068327458,0.4249382205217916,4.249382205217916
2012-01-31,48,0,0.5523802870512673,1.0,0.5523802870512673,0.4081429565978583,4.081429565978583
2012-02-29,48,0,1.1132879596152048,1.0,1.1125650721933642,1.0017490431576734,10.017490431576736
2012-03-30,48,0,1.1801950352752602,1.0,1.1801950352752602,0.8506254789783815,8.506254789783815
2012-04-30,48,0,1.027370854212326,1.0,1.027370854212326,0.7643087115135119,7.643087115135119
2012-05-31,48,0,0.9680632035272806,1.0,0.9680632035272807,0.8699539000391958,8.699539000391958
2012-06-29,48,0,0.8408825770507921,1.0,0.8407962778435507,0.7473380416706541,7.473380416706541
2012-07-31,48,0,0.807286566579595,1.0,0.807286566579595,0.6232091771875631,6.2320917718756315
