date,NAV
2010-01-04,1.0
2010-01-05,1.0
2010-01-06,1.0
2010-01-07,1.0
2010-01-08,1.0
2010-01-11,1.0
2010-01-12,1.0
2010-01-13,1.0
2010-01-14,1.0
2010-01-15,1.0
2010-01-19,1.0
2010-01-20,1.0
2010-01-21,1.0
2010-01-22,1.0
2010-01-25,1.0
2010-01-26,1.0
2010-01-27,1.0
2010-01-28,1.0
2010-01-29,1.0
2010-02-01,1.0225702398364611
2010-02-02,1.0401699119356596
2010-02-03,1.0348058178686934
2010-02-04,0.9958687977048488
2010-02-05,0.9937895467009593
2010-02-08,0.9876644492415275
2010-02-09,1.0044649090049431
2010-02-10,1.0038522294286334
2010-02-11,1.01729711802438
2010-02-12,1.0140535522093441
2010-02-16,1.0377547511860223
2010-02-17,1.0429594102205868
2010-02-18,1.053588334050979
2010-02-19,1.0546969796260008
2010-02-22,1.0544638376818793
2010-02-23,1.0408838526381319
2010-02-24,1.0511139222181247
2010-02-25,1.0481146357357096
2010-02-26,1.0544840983190726
2010-03-01,1.07030499032387
2010-03-02,1.0746114239556122
2010-03-03,1.0762871664950844
2010-03-04,1.0780078078703457
2010-03-05,1.0929141244871463
2010-03-08,1.0953233922323873
2010-03-09,1.0956542339067314
2010-03-10,1.1004530653420872
2010-03-11,1.1072731858117417
2010-03-12,1.1080863451569412
2010-03-15,1.1029504527723564
2010-03-16,1.1150649738076288
2010-03-17,1.1232894345888853
2010-03-18,1.1192047866889063
2010-03-19,1.107972205547823
2010-03-22,1.1225622272322804
2010-03-23,1.132396758925814
2010-03-24,1.126334317866138
2010-03-25,1.1235072989342654
2010-03-26,1.1261381107249306
2010-03-29,1.1344059100630135
2010-03-30,1.1339449107536723
2010-03-31,1.127075617001514
2010-04-01,1.1374297689968587
2010-04-05,1.1542654173276685
2010-04-06,1.158150682164195
2010-04-07,1.1501852345564423
2010-04-08,1.1554712163877352
2010-04-09,1.162890070303834
2010-04-12,1.166854452392296
2010-04-13,1.1690063070979086
2010-04-14,1.1859282437760017
2010-04-15,1.186611034262067
2010-04-16,1.1665271204263568
2010-04-19,1.1649038015472735
2010-04-20,1.183733472972432
2010-04-21,1.186843570678744
2010-04-22,1.1994479713278647
2010-04-23,1.2117910911605185
2010-04-26,1.2100880663311453
2010-04-27,1.1768070269990485
2010-04-28,1.1844427136908242
2010-04-29,1.2017106726678968
2010-04-30,1.1786198646134047
2010-05-03,1.198938416210225
2010-05-04,1.1692306659183953
2010-05-05,1.158122730902777
2010-05-06,1.1242337697272062
2010-05-07,1.1016280172958988
2010-05-10,1.1559668049544352
2010-05-11,1.1554614578810292
2010-05-12,1.1818326926909342
2010-05-13,1.171103152879924
2010-05-14,1.1460123433060743
2010-05-17,1.1455891838305483
2010-05-18,1.1283755905072752
2010-05-19,1.1204679577281624
2010-05-20,1.077244938604097
2010-05-21,1.1002230279019203
2010-05-24,1.0889632508759146
2010-05-25,1.0909965168608673
2010-05-26,1.0913859794069294
2010-05-27,1.1312051145512985
2010-05-28,1.1192941187020025
2010-06-01,1.1192941187020025
2010-06-02,1.1192941187020025
2010-06-03,1.1192941187020025
2010-06-04,1.1192941187020025
2010-06-07,1.1192941187020025
2010-06-08,1.1192941187020025
2010-06-09,1.1192941187020025
2010-06-10,1.1192941187020025
2010-06-11,1.1192941187020025
2010-06-14,1.1192941187020025
2010-06-15,1.1192941187020025
2010-06-16,1.1192941187020025
2010-06-17,1.1192941187020025
2010-06-18,1.1192941187020025
2010-06-21,1.1192941187020025
2010-06-22,1.1192941187020025
2010-06-23,1.1192941187020025
2010-06-24,1.1192941187020025
2010-06-25,1.1192941187020025
2010-06-28,1.1192941187020025
2010-06-29,1.1192941187020025
2010-06-30,1.1192941187020025
2010-07-01,1.1141474282256907
2010-07-02,1.1079109250542887
2010-07-06,1.110593669042839
2010-07-07,1.1374128929560823
2010-07-08,1.1439056849162486
2010-07-09,1.151652485814854
2010-07-12,1.149801032080614
2010-07-13,1.1662782727908265
2010-07-14,1.16814752192708
2010-07-15,1.1660286915484976
2010-07-16,1.1420645594650785
2010-07-19,1.143199351357778
2010-07-20,1.1524991250895098
2010-07-21,1.1426008296015058
2010-07-22,1.1604908885664875
2010-07-23,1.1724816156189748
2010-07-26,1.1858538648779398
2010-07-27,1.1801864383290175
2010-07-28,1.1725259209056633
2010-07-29,1.1709808404288136
2010-07-30,1.1732774656801335
2010-08-02,1.1865474316424516
2010-08-03,1.1828010775152498
2010-08-04,1.187062192887111
2010-08-05,1.18372496792198
2010-08-06,1.1830560643527859
2010-08-09,1.1886922922515932
2010-08-10,1.183805676269449
2010-08-11,1.1617516240564842
2010-08-12,1.160037736082587
2010-08-13,1.1581797189143468
2010-08-16,1.1597479520956124
2010-08-17,1.1701637503802245
2010-08-18,1.1724710664076592
2010-08-19,1.161207579021228
2010-08-20,1.1630937914336394
2010-08-23,1.157243425766092
2010-08-24,1.1460602058772642
2010-08-25,1.1485826319362715
2010-08-26,1.1452261677762627
2010-08-27,1.1602602211217121
2010-08-30,1.1471856541616292
2010-08-31,1.1486167633874071
2010-09-01,1.1728164592430175
2010-09-02,1.180685700139961
2010-09-03,1.1930952674584645
2010-09-07,1.1833986714797617
2010-09-08,1.188490521412385
2010-09-09,1.1848280774764166
2010-09-10,1.1858048185336092
2010-09-13,1.197548990458056
2010-09-14,1.1990088236828536
2010-09-15,1.2021150595202386
2010-09-16,1.2006679307270234
2010-09-17,1.1999520211533974
2010-09-20,1.2127320924925935
2010-09-21,1.211297812545054
2010-09-22,1.2044314147501358
2010-09-23,1.2025713076639066
2010-09-24,1.221692480350146
2010-09-27,1.2196774977343345
2010-09-28,1.226135773688789
2010-09-29,1.225265637194481
2010-09-30,1.2223211723373435
2010-10-01,1.222767630488506
2010-10-04,1.2191763772775701
2010-10-05,1.2367079456106365
2010-10-06,1.2287194497302234
2010-10-07,1.2291899840988565
2010-10-08,1.2355089350086255
2010-10-11,1.2339024413119752
2010-10-12,1.2396758315578347
2010-10-13,1.2449143988452511
2010-10-14,1.244165170268348
2010-10-15,1.2463940418096355
2010-10-18,1.24763008299654
2010-10-19,1.2341753391110248
2010-10-20,1.2456814847500575
2010-10-21,1.2469466264483389
2010-10-22,1.254058598650636
2010-10-25,1.257490254516007
2010-10-26,1.2597037419859631
2010-10-27,1.2611670813154578
2010-10-28,1.2616666428842758
2010-10-29,1.2654549437825489
2010-11-01,1.2643323641208686
2010-11-02,1.2741132612807486
2010-11-03,1.2773740562143225
2010-11-04,1.2925004198781127
2010-11-05,1.295735267172475
2010-11-08,1.2941021817200078
2010-11-09,1.2850329355382266
2010-11-10,1.2876889028854015
2010-11-11,1.2863424221880952
2010-11-12,1.2740979552680305
2010-11-15,1.2731831717176914
2010-11-16,1.2566335464355738
2010-11-17,1.2584948460783723
