date,ticker,px_last,tri_gross,volume
2006-01-03,A US Equity,20.0939,22.5713,3796200.0
2006-01-03,AAPL US Equity,2.244,2.7001,807412144.0
2006-01-03,ABT US Equity,12.0103,23.5641,8280500.0
2006-01-03,ACGL US Equity,5.8195,6.12,2711781.0
2006-01-03,ACN US Equity,20.7278,29.6516,3843400.0
2006-01-03,ADBE US Equity,38.52,39.703,12752513.0
2006-01-03,ADI US Equity,22.9368,37.3076,3575900.0
2006-01-03,ADM US Equity,15.0392,28.4221,4270800.0
2006-01-03,ADP US Equity,22.7157,40.8029,1919100.0
2006-01-03,ADSK US Equity,42.75,45.9041,3117230.0
2006-01-03,AEE US Equity,23.2742,83.9946,900500.0
2006-01-03,AEP US Equity,17.1395,70.0722,1880300.0
2006-01-03,AES US Equity,10.5978,16.2,2026600.0
2006-01-03,AFL US Equity,14.6709,25.6515,3609200.0
2006-01-03,AIG US Equity,852.7301,1212.4169,438190.0
2006-01-03,AIZ US Equity,30.6733,44.7912,581400.0
2006-01-03,AJG US Equity,17.2739,42.888,338800.0
2006-01-03,AKAM US Equity,20.8,20.8,3353181.0
2006-01-03,ALB US Equity,15.3926,24.9937,2859400.0
2006-01-03,ALGN US Equity,6.28,6.28,1399120.0
2006-01-03,ALL US Equity,33.727,68.6275,3192200.0
2006-01-03,AMAT US Equity,13.3742,18.4266,17129817.0
2006-01-03,AMD US Equity,32.4,32.4089,16651600.0
2006-01-03,AME US Equity,11.0955,13.5678,1325025.0
2006-01-03,AMGN US Equity,55.122,80.361,9114502.0
2006-01-03,AMP US Equity,28.369,42.226,1351600.0
2006-01-03,AMT US Equity,20.333,27.3,3653700.0
2006-01-03,AMZN US Equity,2.379,2.379,151642540.0
2006-01-03,AON US Equity,29.7728,49.4221,2292400.0
2006-01-03,AOS US Equity,4.4663,7.8894,1702800.0
2006-01-03,APA US Equity,62.8829,76.8146,2622900.0
2006-01-03,APD US Equity,34.2004,68.1468,1131100.0
2006-01-03,APH US Equity,2.4263,2.7873,7036800.0
2006-01-03,ARE US Equity,42.9223,123.677,126600.0
2006-01-03,ATO US Equity,14.0665,45.0324,370300.0
2006-01-03,AVB US Equity,45.609,162.328,530064.0
2006-01-03,AVY US Equity,34.7903,71.6966,551000.0
2006-01-03,AXON US Equity,7.06,7.06,1443053.0
2006-01-03,AXP US Equity,39.0408,59.163,7825700.0
2006-01-03,AZO US Equity,92.76,92.76,1057200.0
2006-01-03,BA US Equity,50.12,83.032,4943100.0
2006-01-03,BAC US Equity,30.8198,68.642,16296700.0
2006-01-03,BALL US Equity,8.3226,11.7731,1751200.0
2006-01-03,BAX US Equity,14.3166,25.8145,4229500.0
2006-01-03,BBY US Equity,25.5895,45.7433,5105700.0
2006-01-03,BDX US Equity,42.423,66.957,1397100.0
2006-01-03,BEN US Equity,17.0721,35.4323,2907900.0
2006-01-03,BF/B US Equity,9.7413,19.2192,1926094.0
2006-01-03,BG US Equity,37.5645,61.1099,824100.0
2006-01-03,BIIB US Equity,43.052,43.052,4620412.0
2006-01-03,BK US Equity,21.8153,44.8684,3080767.0
2006-01-03,BKNG US Equity,22.358,22.68,467008.0
2006-01-03,BKR US Equity,31.0935,75.1525,3764800.0
2006-01-03,BLDR US Equity,20.0881,20.0881,155219.0
2006-01-03,BLK US Equity,68.023,113.098,124500.0
2006-01-03,BMY US Equity,11.076,32.1043,10140700.0
2006-01-03,BRK/B US Equity,59.3,59.3,718500.0
2006-01-03,BRO US Equity,12.4472,17.6003,1640200.0
2006-01-03,BSX US Equity,24.46,24.46,3967900.0
2006-01-03,BXP US Equity,33.019,122.4,683200.0
2006-01-03,C US Equity,319.3437,602.5125,1537660.0
2006-01-03,CAG US Equity,8.1701,22.9132,2373700.0
2006-01-03,CAH US Equity,32.0758,51.2626,1860300.0
2006-01-03,CAT US Equity,35.0747,75.2199,3697500.0
2006-01-03,CB US Equity,36.238,65.75,1214400.0
2006-01-03,CBRE US Equity,20.0967,20.0967,3155400.0
2006-01-03,CCI US Equity,16.8375,26.9,918200.0
2006-01-03,CCL US Equity,36.6018,63.088,2015600.0
2006-01-03,CDNS US Equity,16.95,16.95,2286592.0
2006-01-03,CF US Equity,2.122,3.0645,2273000.0
2006-01-03,CHD US Equity,6.5086,9.6771,1637600.0
2006-01-03,CHRW US Equity,24.4253,40.3018,1353987.0
2006-01-03,CI US Equity,34.0526,45.4001,3254700.0
2006-01-03,CINF US Equity,22.2028,57.5721,564049.0
2006-01-03,CL US Equity,17.3326,33.0519,3674200.0
2006-01-03,CLX US Equity,32.309,72.312,740500.0
2006-01-03,CMCSA US Equity,6.0695,8.9,32765091.0
2006-01-03,CME US Equity,36.686,74.478,4300500.0
2006-01-03,CMI US Equity,14.764,30.173,3357600.0
2006-01-03,CMS US Equity,8.0031,20.8296,3945000.0
2006-01-03,CNC US Equity,6.6125,6.6125,1934400.0
2006-01-03,CNP US Equity,5.9449,23.693,1327100.0
2006-01-03,COF US Equity,64.0144,91.2148,1934000.0
2006-01-03,COO US Equity,12.6665,12.9869,2196400.0
2006-01-03,COP US Equity,23.8445,50.1857,15894500.0
2006-01-03,COR US Equity,15.9772,20.6496,3939400.0
2006-01-03,COST US Equity,33.969,50.776,2583025.0
2006-01-03,CPB US Equity,16.6885,38.6645,904900.0
2006-01-03,CPRT US Equity,1.4388,1.4388,9773104.0
2006-01-03,CPT US Equity,25.7885,124.8714,398000.0
2006-01-03,CRL US Equity,42.66,42.66,328300.0
2006-01-03,CRM US Equity,8.4709,8.56,6671200.0
2006-01-03,CSCO US Equity,11.42,17.45,55432166.0
2006-01-03,CSGP US Equity,4.406,4.406,1812750.0
2006-01-03,CSX US Equity,1.9747,3.5212,31012200.0
2006-01-03,CTAS US Equity,7.901,10.996,9868392.0
2006-01-03,CTRA US Equity,4.2423,6.4751,6804000.0
2006-01-03,CTSH US Equity,11.2796,12.6675,7662424.0
2006-01-03,CVS US Equity,17.6224,29.5823,7877900.0
