date,ticker,px_last,tri_gross,volume
2018-01-02,A US Equity,63.9099,71.7743,1047830.0
2018-01-02,AAPL US Equity,40.3811,48.592,102223736.0
2018-01-02,ABBV US Equity,70.4058,117.656,4561295.0
2018-01-02,ABT US Equity,51.3076,100.6243,10113305.0
2018-01-02,ACGL US Equity,27.9881,29.4333,1334088.0
2018-01-02,ACN US Equity,136.7081,195.0792,3061912.0
2018-01-02,ADBE US Equity,177.7,183.155,2432814.0
2018-01-02,ADI US Equity,78.1203,126.5495,2343204.0
2018-01-02,ADM US Equity,31.9111,60.281,3670758.0
2018-01-02,ADP US Equity,98.5764,176.8492,2453008.0
2018-01-02,ADSK US Equity,107.12,115.0234,2040702.0
2018-01-02,AEE US Equity,46.8089,168.8556,1313803.0
2018-01-02,AEP US Equity,54.9591,225.2706,3016947.0
2018-01-02,AES US Equity,8.2405,12.5874,4564609.0
2018-01-02,AFL US Equity,36.6608,64.0722,4227232.0
2018-01-02,AIG US Equity,48.6033,69.0846,3769607.0
2018-01-02,AIZ US Equity,85.4993,125.1463,449857.0
2018-01-02,AJG US Equity,55.6813,138.2836,790461.0
2018-01-02,AKAM US Equity,65.56,65.56,1426411.0
2018-01-02,ALB US Equity,118.1552,191.9436,1118561.0
2018-01-02,ALGN US Equity,224.62,224.62,979676.0
2018-01-02,ALL US Equity,85.1885,173.0145,4788853.0
2018-01-02,ALLE US Equity,72.2673,82.1635,645412.0
2018-01-02,AMAT US Equity,48.5297,66.8578,9819493.0
2018-01-02,AMD US Equity,10.98,10.983,44146332.0
2018-01-02,AME US Equity,69.0356,84.407,791826.0
2018-01-02,AMGN US Equity,139.72,203.668,2301141.0
2018-01-02,AMP US Equity,145.912,216.9,812370.0
2018-01-02,AMT US Equity,117.114,157.19,1881211.0
2018-01-02,AMZN US Equity,59.451,59.451,53889880.0
2018-01-02,ANET US Equity,14.4394,14.4394,13956304.0
2018-01-02,AON US Equity,123.0026,204.0903,878049.0
2018-01-02,AOS US Equity,53.6187,94.6309,679235.0
2018-01-02,APA US Equity,39.2907,54.4556,4005157.0
2018-01-02,APD US Equity,138.143,275.4288,1051894.0
2018-01-02,APH US Equity,20.3816,23.4162,4909864.0
2018-01-02,APO US Equity,25.3517,64.3539,697584.0
2018-01-02,APTV US Equity,84.1583,92.5003,1469923.0
2018-01-02,ARE US Equity,100.1516,288.4185,540403.0
2018-01-02,ATO US Equity,70.6253,226.1442,668813.0
2018-01-02,AVB US Equity,137.322,489.056,595274.0
2018-01-02,AVGO US Equity,21.469,29.989,33135220.0
2018-01-02,AVY US Equity,100.9501,208.4996,401841.0
2018-01-02,AWK US Equity,76.9745,117.4459,1140208.0
2018-01-02,AXON US Equity,26.55,26.55,487831.0
2018-01-02,AXP US Equity,88.9935,134.7866,2746672.0
2018-01-02,AZO US Equity,736.54,736.54,558705.0
2018-01-02,BA US Equity,282.887,469.286,2978918.0
2018-01-02,BAC US Equity,24.9056,55.3286,57121603.0
2018-01-02,BALL US Equity,35.5171,50.2209,2852080.0
2018-01-02,BAX US Equity,58.4761,105.4398,5571637.0
2018-01-02,BBY US Equity,52.2326,93.4682,3693511.0
2018-01-02,BDX US Equity,189.56,299.081,2689274.0
2018-01-02,BEN US Equity,28.5468,59.2391,2378328.0
2018-01-02,BF/B US Equity,47.0081,92.6223,1147350.0
2018-01-02,BG US Equity,53.6628,87.3106,944513.0
2018-01-02,BIIB US Equity,334.17,334.17,1422514.0
2018-01-02,BK US Equity,43.3678,88.9998,3633056.0
2018-01-02,BKNG US Equity,1759.376,1784.75,475542.0
2018-01-02,BKR US Equity,25.86,64.0102,3653271.0
2018-01-02,BLDR US Equity,22.0,22.0,2403074.0
2018-01-02,BLK US Equity,418.693,696.52,527135.0
2018-01-02,BMY US Equity,46.7229,135.3274,6472651.0
2018-01-02,BR US Equity,79.7733,115.3674,571327.0
2018-01-02,BRK/B US Equity,197.22,197.22,4112983.0
2018-01-02,BRO US Equity,24.0392,33.9854,1385504.0
2018-01-02,BSX US Equity,25.28,25.28,9980547.0
2018-01-02,BX US Equity,23.7374,61.1154,5241577.0
2018-01-02,BXP US Equity,92.274,342.347,689987.0
2018-01-02,C US Equity,57.2137,107.9031,15819844.0
2018-01-02,CAG US Equity,28.1979,79.0513,2544486.0
2018-01-02,CAH US Equity,50.2177,80.2641,2410111.0
2018-01-02,CAT US Equity,132.2301,283.397,5108362.0
