date,ticker,px_last,tri_gross,volume
2014-01-02,A US Equity,36.5135,41.0124,1916160.0
2014-01-02,AAPL US Equity,17.1734,20.6654,235167828.0
2014-01-02,ABBV US Equity,32.3985,54.0353,4569061.0
2014-01-02,ABT US Equity,30.4644,59.7425,4967472.0
2014-01-02,ACGL US Equity,18.1844,19.1233,2592816.0
2014-01-02,ACN US Equity,66.1061,94.3706,2405384.0
2014-01-02,ADBE US Equity,59.29,61.11,2746370.0
2014-01-02,ADI US Equity,38.3895,62.2551,2799092.0
2014-01-02,ADM US Equity,30.7434,58.089,2753765.0
2014-01-02,ADP US Equity,54.2006,97.2797,1965869.0
2014-01-02,ADSK US Equity,49.25,52.8837,2488043.0
2014-01-02,AEE US Equity,24.5976,88.7686,1394264.0
2014-01-02,AEP US Equity,30.259,123.9397,2752002.0
2014-01-02,AES US Equity,9.4914,14.5066,3987216.0
2014-01-02,AFL US Equity,24.9413,43.6161,3829314.0
2014-01-02,AIG US Equity,38.7841,55.12,9198092.0
2014-01-02,AIZ US Equity,51.8737,75.9712,375524.0
2014-01-02,AJG US Equity,36.5653,90.8628,483694.0
2014-01-02,AKAM US Equity,46.53,46.53,935107.0
2014-01-02,ALB US Equity,53.0401,86.1301,548782.0
2014-01-02,ALGN US Equity,56.96,56.96,437600.0
2014-01-02,ALL US Equity,41.5858,84.5053,1909106.0
2014-01-02,ALLE US Equity,38.3923,43.65,992872.0
2014-01-02,AMAT US Equity,15.0404,20.7281,7785873.0
2014-01-02,AMD US Equity,3.95,3.9511,20569754.0
2014-01-02,AME US Equity,48.1513,58.87,570244.0
2014-01-02,AMGN US Equity,83.314,121.451,2529728.0
2014-01-02,AMP US Equity,88.758,132.013,783767.0
2014-01-02,AMT US Equity,61.174,82.136,1701345.0
2014-01-02,AMZN US Equity,19.899,19.899,42804920.0
2014-01-02,AON US Equity,73.5196,122.0179,1209157.0
2014-01-02,AOS US Equity,22.1899,39.1626,1296914.0
2014-01-02,APA US Equity,75.8142,97.9976,2565384.0
2014-01-02,APD US Equity,78.0321,155.591,839074.0
2014-01-02,APH US Equity,9.8149,11.2755,3534560.0
2014-01-02,APO US Equity,17.0871,43.5122,1046889.0
2014-01-02,APTV US Equity,45.8769,50.4581,746999.0
2014-01-02,ARE US Equity,43.0743,124.1284,402659.0
2014-01-02,ATO US Equity,33.4254,107.0794,422032.0
2014-01-02,AVB US Equity,81.037,288.823,901928.0
2014-01-02,AVGO US Equity,3.978,5.557,14537320.0
2014-01-02,AVY US Equity,39.4496,81.5041,645964.0
2014-01-02,AWK US Equity,32.8125,50.0744,788839.0
2014-01-02,AXON US Equity,15.38,15.38,1276654.0
2014-01-02,AXP US Equity,75.7849,114.811,5120019.0
2014-01-02,AZO US Equity,474.11,474.11,151840.0
2014-01-02,BA US Equity,116.808,193.689,3368009.0
2014-01-02,BAC US Equity,12.7492,28.3364,149225696.0
2014-01-02,BALL US Equity,22.8789,32.3573,1234874.0
2014-01-02,BAX US Equity,30.4555,54.922,2069974.0
2014-01-02,BBY US Equity,26.8189,47.9609,4019318.0
2014-01-02,BDX US Equity,88.843,140.168,665048.0
2014-01-02,BEN US Equity,34.8174,72.2665,1098073.0
2014-01-02,BF/B US Equity,24.5419,48.3729,880458.0
2014-01-02,BG US Equity,59.329,96.5477,369164.0
2014-01-02,BIIB US Equity,258.212,258.212,902226.0
2014-01-02,BK US Equity,25.9462,53.2528,3469457.0
2014-01-02,BKNG US Equity,1129.155,1145.44,654396.0
2014-01-02,BKR US Equity,28.6703,69.3171,3475388.0
2014-01-02,BLDR US Equity,7.53,7.53,1023746.0
2014-01-02,BLK US Equity,233.373,388.256,396548.0
2014-01-02,BMY US Equity,36.198,104.8531,5654293.0
2014-01-02,BR US Equity,31.7858,45.9601,660518.0
2014-01-02,BRK/B US Equity,117.5,117.5,3087099.0
2014-01-02,BRO US Equity,13.8783,19.6241,1449898.0
2014-01-02,BSX US Equity,11.91,11.91,7971602.0
2014-01-02,BX US Equity,17.1001,44.0136,6921611.0
2014-01-02,BXP US Equity,62.829,233.301,894806.0
2014-01-02,C US Equity,39.1312,73.7894,16489770.0
2014-01-02,CAG US Equity,17.7277,49.6981,1904047.0
2014-01-02,CAH US Equity,48.2824,77.1869,1608509.0
2014-01-02,CAT US Equity,66.2351,141.9632,4898714.0
2014-01-02,CB US Equity,80.101,145.449,1112627.0
2014-01-02,CBOE UF Equity,43.4299,56.032,26299.0
2014-01-02,CBRE US Equity,26.34,26.34,2607046.0
2014-01-02,CCI US Equity,44.8352,71.63,3659722.0
2014-01-02,CCL US Equity,33.1194,57.2264,2953583.0
2014-01-02,CDNS US Equity,14.01,14.01,3118223.0
2014-01-02,CDW US Equity,20.5891,23.4278,538850.0
2014-01-02,CF US Equity,33.926,48.9985,3460110.0
2014-01-02,CHD US Equity,27.8584,41.4186,1035860.0
2014-01-02,CHRW US Equity,43.7437,72.1219,1503287.0
2014-01-02,CHTR US Equity,149.032,149.032,1012593.0
2014-01-02,CI US Equity,79.1392,105.5063,1021731.0
2014-01-02,CINF US Equity,36.6064,94.9589,541030.0
2014-01-02,CL US Equity,49.0029,93.4218,3004468.0
2014-01-02,CLX US Equity,65.401,146.444,1353357.0
2014-01-02,CMCSA US Equity,19.9214,29.2083,19522498.0
2014-01-02,CME US Equity,49.057,99.447,2070876.0
