date,ticker,px_last,tri_gross,volume
2003-01-02,A US Equity,11.4805,12.896,2418500.0
2003-01-02,AAPL US Equity,0.2221,0.2673,182317016.0
2003-01-02,ABT US Equity,10.5916,20.774,9388500.0
2003-01-02,ACGL US Equity,3.2784,3.4477,1474380.0
2003-01-02,ACN US Equity,13.0079,18.61,684200.0
2003-01-02,ADBE US Equity,12.761,13.153,6228032.0
2003-01-02,ADI US Equity,15.9227,25.9,2778100.0
2003-01-02,ADM US Equity,7.3327,13.8615,1129600.0
2003-01-02,ADP US Equity,19.0962,34.2968,1669000.0
2003-01-02,ADSK US Equity,7.2279,7.762,1880834.0
2003-01-02,AEE US Equity,16.1452,58.2827,480000.0
2003-01-02,AEP US Equity,11.1465,45.5812,1335400.0
2003-01-02,AES US Equity,2.1196,3.24,3062400.0
2003-01-02,AFL US Equity,9.6654,16.8991,4597800.0
2003-01-02,AIG US Equity,726.1998,1032.5732,313865.0
2003-01-02,AJG US Equity,14.8401,36.8598,450600.0
2003-01-02,AKAM US Equity,1.88,1.88,622233.0
2003-01-02,ALB US Equity,10.1549,16.4907,400600.0
2003-01-02,ALGN US Equity,2.739,2.739,112900.0
2003-01-02,ALL US Equity,21.7597,44.2696,1989500.0
2003-01-02,AMAT US Equity,10.1468,13.98,25177904.0
2003-01-02,AMD US Equity,7.01,7.0119,17477200.0
2003-01-02,AME US Equity,4.9718,6.0808,1246050.0
2003-01-02,AMGN US Equity,33.83,49.321,14254888.0
2003-01-02,AMT US Equity,2.867,3.85,716000.0
2003-01-02,AMZN US Equity,0.979,0.979,130602920.0
2003-01-02,AON US Equity,14.4856,24.0445,1691700.0
2003-01-02,AOS US Equity,3.2603,5.7595,919800.0
2003-01-02,APA US Equity,25.045,30.0516,3075450.0
2003-01-02,APD US Equity,22.9393,45.7194,1588300.0
2003-01-02,APH US Equity,1.0955,1.2584,6838400.0
2003-01-02,ARE US Equity,19.4662,56.1524,53500.0
2003-01-02,ATO US Equity,10.7151,34.3186,81400.0
2003-01-02,AVB US Equity,16.987,60.495,283128.0
2003-01-02,AVY US Equity,35.9257,74.0475,546400.0
2003-01-02,AXON US Equity,0.3509,0.3509,332400.0
2003-01-02,AXP US Equity,23.2593,35.254,3200900.0
2003-01-02,AZO US Equity,73.55,73.55,936100.0
2003-01-02,BA US Equity,22.847,37.858,2122500.0
2003-01-02,BAC US Equity,20.5268,45.7377,12584000.0
2003-01-02,BALL US Equity,5.3195,7.5265,3182400.0
2003-01-02,BAX US Equity,10.1543,18.3239,3124800.0
2003-01-02,BBY US Equity,9.3083,16.64,4559250.0
2003-01-02,BDX US Equity,21.318,33.657,651600.0
2003-01-02,BEN US Equity,5.9836,12.4177,3941400.0
2003-01-02,BF/B US Equity,4.3208,8.5247,668438.0
2003-01-02,BG US Equity,15.0371,24.4618,325300.0
2003-01-02,BIIB US Equity,31.631,31.631,3476224.0
2003-01-02,BK US Equity,15.5835,32.0625,3051899.0
2003-01-02,BKNG US Equity,9.878,10.02,174463.0
2003-01-02,BKR US Equity,15.6449,37.8198,1769700.0
2003-01-02,BLK US Equity,24.205,40.25,25700.0
2003-01-02,BMY US Equity,10.1116,29.3499,5462800.0
2003-01-02,BRK/B US Equity,47.88,47.88,770500.0
2003-01-02,BRO US Equity,6.4744,9.1565,764400.0
2003-01-02,BSX US Equity,21.495,21.495,6044000.0
2003-01-02,BXP US Equity,13.47,49.969,193200.0
2003-01-02,C US Equity,213.4019,402.701,1849820.0
2003-01-02,CAG US Equity,9.0041,25.2409,2102300.0
2003-01-02,CAH US Equity,28.1601,45.0068,2944300.0
2003-01-02,CAT US Equity,13.6124,29.1941,4539400.0
2003-01-02,CB US Equity,19.071,34.62,1332200.0
2003-01-02,CCI US Equity,2.3472,3.75,617100.0
2003-01-02,CCL US Equity,16.4895,28.4187,3415200.0
2003-01-02,CDNS US Equity,11.79,11.79,2340400.0
2003-01-02,CHD US Equity,3.865,5.7473,682800.0
2003-01-02,CHRW US Equity,10.0729,16.6209,1494096.0
2003-01-02,CI US Equity,12.4443,16.5905,3875100.0
2003-01-02,CINF US Equity,15.9983,41.4592,409633.0
2003-01-02,CL US Equity,16.0506,30.6097,2932600.0
2003-01-02,CLX US Equity,22.401,50.133,703900.0
2003-01-02,CMCSA US Equity,5.7386,8.4148,29033760.0
2003-01-02,CME US Equity,4.307,8.744,315000.0
2003-01-02,CMI US Equity,4.391,8.974,2707600.0
2003-01-02,CMS US Equity,5.3409,13.9007,1451000.0
2003-01-02,CNC US Equity,2.875,2.875,4339200.0
2003-01-02,CNP US Equity,3.2524,12.9715,1644900.0
2003-01-02,COF US Equity,23.2196,33.0857,4736700.0
2003-01-02,COO US Equity,6.3177,6.4775,1191200.0
2003-01-02,COP US Equity,9.0106,18.9577,4094200.0
2003-01-02,COR US Equity,10.8377,14.0071,7891200.0
2003-01-02,COST US Equity,19.408,29.01,5135505.0
2003-01-02,CPB US Equity,12.5055,28.9718,1119000.0
2003-01-02,CPRT US Equity,0.765,0.765,2686976.0
2003-01-02,CPT US Equity,12.2642,59.3961,133000.0
2003-01-02,CRL US Equity,38.55,38.55,241400.0
