date,ticker,px_last,tri_gross,volume
2023-01-03,A US Equity,147.3077,165.3968,1414284.0
2023-01-03,AAPL US Equity,123.3307,148.4153,112117471.0
2023-01-03,ABBV US Equity,146.5325,244.6914,4937722.0
2023-01-03,ABNB US Equity,84.9,84.9,3901185.0
2023-01-03,ABT US Equity,103.8298,203.5614,4171957.0
2023-01-03,ACGL US Equity,59.3932,62.46,1492870.0
2023-01-03,ACN US Equity,258.1392,368.441,2250061.0
2023-01-03,ADBE US Equity,336.92,347.263,2229104.0
2023-01-03,ADI US Equity,154.7566,250.764,4475744.0
2023-01-03,ADM US Equity,82.08,155.0006,2286020.0
2023-01-03,ADP US Equity,223.894,402.2492,1749813.0
2023-01-03,ADSK US Equity,185.15,198.8105,1181561.0
2023-01-03,AEE US Equity,81.1317,292.671,1084536.0
2023-01-03,AEP US Equity,85.3072,349.6122,1870526.0
2023-01-03,AES US Equity,24.9481,38.1035,4295299.0
2023-01-03,AFL US Equity,67.3448,117.7055,3314314.0
2023-01-03,AIG US Equity,59.1701,83.9087,3363521.0
2023-01-03,AIZ US Equity,121.409,177.6599,335256.0
2023-01-03,AJG US Equity,182.5955,453.4914,546556.0
2023-01-03,AKAM US Equity,84.97,84.97,1308083.0
2023-01-03,ALB US Equity,205.7621,334.5352,2293435.0
2023-01-03,ALGN US Equity,212.28,212.28,1170143.0
2023-01-03,ALL US Equity,128.0098,259.9244,1248340.0
2023-01-03,ALLE US Equity,103.3407,117.5281,656439.0
2023-01-03,AMAT US Equity,94.3412,129.9609,5921671.0
2023-01-03,AMCR US Equity,10.3526,13.7963,9391172.0
2023-01-03,AMD US Equity,64.02,64.0375,46851844.0
2023-01-03,AME US Equity,137.9962,168.792,1446167.0
2023-01-03,AMGN US Equity,239.426,348.829,2594803.0
2023-01-03,AMP US Equity,298.735,443.919,376160.0
2023-01-03,AMT US Equity,197.6,265.342,1812441.0
2023-01-03,AMZN US Equity,85.82,85.82,76706040.0
2023-01-03,ANET US Equity,30.2275,30.2275,6774884.0
2023-01-03,AON US Equity,292.9287,486.1285,531351.0
2023-01-03,AOS US Equity,56.0897,98.8294,1366238.0
2023-01-03,APA US Equity,39.5256,59.1079,6169005.0
2023-01-03,APD US Equity,287.7141,573.4266,1020324.0
2023-01-03,APH US Equity,37.2893,42.8585,5085422.0
2023-01-03,APO US Equity,59.8945,152.2303,1847260.0
2023-01-03,APP US Equity,10.73,10.73,2575215.0
2023-01-03,APTV US Equity,92.95,102.1427,1340376.0
2023-01-03,ARE US Equity,127.6337,367.2408,982484.0
2023-01-03,ATO US Equity,103.7884,332.2211,1039972.0
2023-01-03,AVB US Equity,147.991,526.788,646025.0
2023-01-03,AVGO US Equity,53.02,74.068,20173140.0
2023-01-03,AVY US Equity,174.4339,360.3124,392028.0
2023-01-03,AWK US Equity,145.1094,221.3517,640784.0
2023-01-03,AXON US Equity,168.24,168.24,441457.0
2023-01-03,AXP US Equity,142.0928,215.1472,2762338.0
2023-01-03,AZO US Equity,2431.06,2431.06,134526.0
2023-01-03,BA US Equity,195.39,324.199,8624570.0
2023-01-03,BAC US Equity,31.1353,69.1786,35221501.0
2023-01-03,BALL US Equity,50.0049,70.7195,1248840.0
2023-01-03,BAX US Equity,47.3503,85.4047,2787410.0
2023-01-03,BBY US Equity,70.5513,126.4406,2542157.0
2023-01-03,BDX US Equity,244.225,385.319,1001997.0
2023-01-03,BEN US Equity,23.7649,49.3465,4213547.0
2023-01-03,BF/B US Equity,61.568,121.2385,1036321.0
2023-01-03,BG US Equity,88.1273,143.3073,876767.0
2023-01-03,BIIB US Equity,272.63,272.63,1090503.0
2023-01-03,BK US Equity,42.6775,87.5642,5319253.0
2023-01-03,BKNG US Equity,2003.318,2032.21,266999.0
2023-01-03,BKR US Equity,26.9109,66.5348,6551048.0
2023-01-03,BLDR US Equity,65.35,65.35,2194948.0
2023-01-03,BLK US Equity,665.591,1107.376,540821.0
2023-01-03,BMY US Equity,64.1397,185.9377,7792470.0
2023-01-03,BR US Equity,128.5441,185.983,436722.0
2023-01-03,BRK/B US Equity,309.91,309.91,3551418.0
2023-01-03,BRO US Equity,55.6631,78.6755,1162348.0
2023-01-03,BSX US Equity,46.01,46.01,6282744.0
2023-01-03,BX US Equity,70.1478,180.8543,9366822.0
2023-01-03,BXP US Equity,57.148,211.82,1746127.0
2023-01-03,C US Equity,41.2942,77.9549,19563965.0
2023-01-03,CAG US Equity,33.9481,95.1921,4237668.0
2023-01-03,CAH US Equity,73.1386,116.8947,4060050.0
2023-01-03,CARR US Equity,40.2242,43.1374,2866079.0
2023-01-03,CAT US Equity,227.6169,487.5591,2651884.0
2023-01-03,CB US Equity,212.089,385.177,1804374.0
2023-01-03,CBOE UF Equity,121.9709,157.3605,178959.0
2023-01-03,CBRE US Equity,78.44,78.44,1169125.0
2023-01-03,CCI US Equity,118.6679,189.7195,1994739.0
2023-01-03,CCL US Equity,7.97,13.7723,33965211.0
2023-01-03,CDNS US Equity,159.64,159.64,992792.0
2023-01-03,CDW US Equity,173.5149,197.4198,515349.0
2023-01-03,CEG US Equity,80.0114,82.6537,4030562.0
2023-01-03,CF US Equity,76.8814,110.9009,6213411.0
