date,ticker,px_last,tri_gross,volume
2024-01-02,A US Equity,137.213,154.0601,1441581.0
2024-01-02,AAPL US Equity,184.0816,221.5166,82488674.0
2024-01-02,ABBV US Equity,150.0487,250.5821,8059876.0
2024-01-02,ABNB US Equity,134.48,134.48,3485247.0
2024-01-02,ABT US Equity,106.1679,208.1521,5058688.0
2024-01-02,ACGL US Equity,71.8404,75.55,1859755.0
2024-01-02,ACN US Equity,336.6257,480.3846,2319486.0
2024-01-02,ADBE US Equity,580.07,597.878,2840192.0
2024-01-02,ADI US Equity,187.9242,304.504,3279249.0
2024-01-02,ADM US Equity,68.1582,128.7449,3072643.0
2024-01-02,ADP US Equity,224.8972,404.078,1955467.0
2024-01-02,ADSK US Equity,234.12,251.3936,1443500.0
2024-01-02,AEE US Equity,69.999,252.4832,1531229.0
2024-01-02,AEP US Equity,77.8419,319.0307,3429261.0
2024-01-02,AES US Equity,17.7261,27.0609,4785292.0
2024-01-02,AFL US Equity,80.1864,140.1734,1888056.0
2024-01-02,AIG US Equity,66.3329,94.009,3897931.0
2024-01-02,AIZ US Equity,165.3261,241.908,262396.0
2024-01-02,AJG US Equity,221.6704,550.4976,896031.0
2024-01-02,AKAM US Equity,116.88,116.88,1216942.0
2024-01-02,ALB US Equity,142.1322,231.0438,1962347.0
2024-01-02,ALGN US Equity,268.92,268.92,761899.0
2024-01-02,ALL US Equity,138.8037,281.7565,2263559.0
2024-01-02,ALLE US Equity,121.1591,137.7876,1003651.0
2024-01-02,AMAT US Equity,151.9531,209.3355,8607329.0
2024-01-02,AMCR US Equity,8.8959,11.8576,10438932.0
2024-01-02,AMD US Equity,138.58,138.618,64902029.0
2024-01-02,AME US Equity,161.0183,196.9539,798499.0
2024-01-02,AMGN US Equity,281.562,410.249,3375095.0
2024-01-02,AMP US Equity,370.458,550.423,540629.0
2024-01-02,AMT US Equity,208.277,279.646,1566330.0
2024-01-02,AMZN US Equity,149.93,149.93,47339424.0
2024-01-02,ANET US Equity,57.89,57.89,5636852.0
2024-01-02,AON US Equity,283.9068,471.1684,1174181.0
2024-01-02,AOS US Equity,78.9555,139.1028,613828.0
2024-01-02,APA US Equity,33.5288,50.1507,2838703.0
2024-01-02,APD US Equity,263.0814,524.1632,1109171.0
2024-01-02,APH US Equity,47.7347,54.8605,5281588.0
2024-01-02,APO US Equity,89.0869,226.4296,1955421.0
2024-01-02,APP US Equity,38.78,38.78,2371617.0
2024-01-02,APTV US Equity,90.17,99.0878,1481143.0
2024-01-02,ARE US Equity,119.6122,343.9366,964911.0
2024-01-02,ATO US Equity,112.0395,358.6042,882307.0
2024-01-02,AVB US Equity,179.011,636.945,758582.0
2024-01-02,AVGO US Equity,106.34,148.588,28831020.0
2024-01-02,AVY US Equity,193.4556,399.6187,434798.0
2024-01-02,AWK US Equity,128.2232,195.5959,1132395.0
2024-01-02,AXON US Equity,251.63,251.63,532443.0
2024-01-02,AXP US Equity,184.5651,279.4996,2236696.0
2024-01-02,AZO US Equity,2568.5,2568.5,177484.0
2024-01-02,BA US Equity,251.76,417.731,5815219.0
2024-01-02,BAC US Equity,32.4784,72.1593,36668634.0
2024-01-02,BALL US Equity,55.6407,78.6876,2129493.0
2024-01-02,BAX US Equity,37.1086,66.9379,5707146.0
2024-01-02,BBY US Equity,71.2037,127.62,3204355.0
2024-01-02,BDX US Equity,237.5,374.718,1952178.0
2024-01-02,BEN US Equity,26.8634,55.7597,3657680.0
2024-01-02,BF/B US Equity,54.5728,107.4453,1579301.0
2024-01-02,BG US Equity,96.0089,156.1243,976602.0
2024-01-02,BIIB US Equity,267.71,267.71,1084767.0
2024-01-02,BK US Equity,50.0426,102.6365,2778572.0
2024-01-02,BKNG US Equity,3431.077,3480.56,333416.0
2024-01-02,BKR US Equity,32.5368,80.4379,4721073.0
2024-01-02,BLDR US Equity,165.38,165.38,1320284.0
2024-01-02,BLK US Equity,769.663,1280.619,660044.0
2024-01-02,BMY US Equity,48.5002,140.5848,17757453.0
2024-01-02,BR US Equity,194.4827,281.3648,616318.0
2024-01-02,BRK/B US Equity,362.46,362.46,4740903.0
2024-01-02,BRO US Equity,70.025,98.9701,1231477.0
2024-01-02,BSX US Equity,57.84,57.84,6775540.0
2024-01-02,BX US Equity,122.3978,315.5225,4500927.0
2024-01-02,BXP US Equity,66.105,244.685,1525012.0
