index_,SPX Index_open,SPX Index_high,SPX Index_low,SPX Index_close,SPX Index_volume,SPX Index_num_trds,SPX Index_value,return,momentum_3,momentum_10,ma_fast,ma_slow,volatility
2025-06-09 09:31:00-04:00,6007.42,6009.55,5994.18,6008.01,0,3600,0,,,,,,
2025-06-09 10:31:00-04:00,6008.05,6012.37,5999.74,6003.53,0,3600,0,-0.000745671,,,,,
2025-06-09 11:31:00-04:00,6003.52,6009.3,6001.39,6007.48,0,3600,0,0.000657946,,,,,
2025-06-09 12:31:00-04:00,6007.5,6019.84,6007.46,6015.94,0,3600,0,0.001408244,0.001319905,,,,
2025-06-09 13:31:00-04:00,6015.83,6021.31,6014.71,6020.16,0,3600,0,0.00070147,0.002770037,,6011.024,,
2025-06-09 14:31:00-04:00,6020.12,6020.78,6012.63,6013.15,0,3600,0,-0.001164421,0.000943823,,6012.052,,
2025-06-09 15:31:00-04:00,6013.17,6016.1,6004.2,6004.81,0,1740,0,-0.00138696,-0.001850085,,6012.308,,
2025-06-10 09:31:00-04:00,6015.69,6022.02,6010.87,6021.09,0,3600,0,0.00271116,0.000154481,,6015.03,,
2025-06-10 10:31:00-04:00,6021.09,6024.86,6018.2,6018.6,0,3600,0,-0.000413546,0.000906347,,6015.562,,
2025-06-10 11:31:00-04:00,6018.6,6028.64,6000.28,6027.6,0,3600,0,0.001495364,0.003795291,,6017.05,,
2025-06-10 12:31:00-04:00,6027.54,6035.83,6026.37,6026.93,0,3600,0,-0.000111155,0.000969924,0.003149129,6019.806,,
2025-06-10 13:31:00-04:00,6026.92,6028.36,6011.41,6018.57,0,3600,0,-0.001387108,-4.98E-06,0.002505193,6022.558,,
2025-06-10 14:31:00-04:00,6018.42,6043.01,6017.54,6033.35,0,3600,0,0.002455733,0.000953945,0.004306298,6025.01,,
2025-06-10 15:31:00-04:00,6033.33,6040.43,6025.5,6039.45,0,1740,0,0.001011047,0.002077343,0.003907951,6029.18,,
2025-06-11 09:31:00-04:00,6048.43,6058.13,6031.81,6056.68,0,3600,0,0.002852909,0.006332069,0.006066284,6034.996,,
2025-06-11 10:31:00-04:00,6056.7,6059.4,6044.38,6050.74,0,3600,0,-0.000980735,0.002882312,0.006251299,6039.758,,
2025-06-11 11:31:00-04:00,6050.54,6052.91,6028.81,6041.82,0,3600,0,-0.0014742,0.00039242,0.006163392,6044.408,,
2025-06-11 12:31:00-04:00,6041.84,6052.65,6036.74,6052.58,0,3600,0,0.00178092,-0.000676939,0.00522995,6048.254,,
2025-06-11 13:31:00-04:00,6052.67,6052.89,6002.32,6009.7,0,3600,0,-0.007084582,-0.006782641,-0.001478749,6042.304,,
2025-06-11 14:31:00-04:00,6009.72,6030.2,6007.95,6014.81,0,3600,0,0.000850292,-0.004470507,-0.002121906,6033.93,6024.25,
2025-06-11 15:31:00-04:00,6014.8,6023.79,6006.76,6023.29,0,1740,0,0.001409853,-0.004839259,-0.000603956,6028.44,6025.014,0.002206495
2025-06-12 09:31:00-04:00,6011.83,6034.91,6003.88,6033.85,0,3600,0,0.001753195,0.004018503,0.002538809,6026.846,6026.53,0.002225012
2025-06-12 10:31:00-04:00,6033.95,6044.67,6025.61,6034.33,0,3600,0,7.96E-05,0.003245323,0.00016243,6023.196,6027.8725,0.002223247
2025-06-12 11:31:00-04:00,6034.35,6040.1,6026.8,6036.98,0,3600,0,0.000439154,0.002272844,-0.000408978,6028.652,6028.9245,0.002206608
2025-06-12 12:31:00-04:00,6037.08,6041.91,6030.57,6040.83,0,3600,0,0.000637736,0.001156807,-0.002616945,6033.856,6029.958,0.002205857
2025-06-12 13:31:00-04:00,6040.97,6044.21,6033.81,6036.26,0,3600,0,-0.000756519,0.000319837,-0.002393096,6036.45,6031.1135,0.002194691
2025-06-12 14:31:00-04:00,6036.31,6044.1,6034,6040.12,0,3600,0,0.000639469,0.000520128,-0.000281372,6037.704,6032.879,0.002164424
2025-06-12 15:31:00-04:00,6040.05,6045.43,6033.12,6045.43,0,1740,0,0.000879122,0.000761485,-0.001181314,6039.924,6034.096,0.002094442
2025-06-13 09:31:00-04:00,6000.83,6010.13,5974.68,5976.04,0,3600,0,-0.011478092,-0.009976376,-0.005600945,6027.736,6031.968,0.003350663
2025-06-13 10:31:00-04:00,5976.12,6015.41,5974.65,6013.96,0,3600,0,0.006345339,-0.00433104,-0.000141318,6022.362,6031.286,0.00365306
2025-06-13 11:31:00-04:00,6013.9,6026.16,6011.38,6018.18,0,3600,0,0.000701701,-0.004507537,-0.000848374,6018.746,6030.8485,0.00365753
2025-06-13 12:31:00-04:00,6018.32,6022.29,6000.59,6004.63,0,3600,0,-0.002251511,0.004784105,-0.004842679,6011.648,6030.1515,0.003679003
2025-06-13 13:31:00-04:00,6004.56,6010.22,5977.7,5978.78,0,3600,0,-0.004305011,-0.005849723,-0.009205662,5998.318,6027.423,0.003740975
2025-06-13 14:31:00-04:00,5978.81,5983.93,5964.26,5974.31,0,3600,0,-0.000747644,-0.007289579,-0.010381018,5997.972,6024.166,0.003725524
2025-06-13 15:31:00-04:00,5974.37,5979.78,5963.21,5976.99,0,1740,0,0.000448587,-0.004603115,-0.010568084,5990.578,6020.1815,0.003648427
2025-06-16 09:31:00-04:00,6015.8,6048.13,6015.8,6047.54,0,3600,0,0.0118036,0.011500674,0.001868707,5996.45,6020.0215,0.004587541
2025-06-16 10:31:00-04:00,6047.6,6050.83,6039.53,6041.81,0,3600,0,-0.000947493,0.011298376,0.000279796,6003.886,6020.021,0.004580238
2025-06-16 11:31:00-04:00,6042.09,6044.82,6035.31,6037.66,0,3600,0,-0.00068688,0.010150594,-0.001285268,6015.662,6019.275,0.004563225
2025-06-16 12:31:00-04:00,6037.39,6043.2,6030.4,6043.2,0,3600,0,0.000917574,-0.000717647,0.011238211,6029.44,6020.95,0.004260609
