date,NAV
2010-01-04,1.0
2010-01-05,1.0
2010-01-06,1.0
2010-01-07,1.0
2010-01-08,1.0
2010-01-11,1.0
2010-01-12,1.0
2010-01-13,1.0
2010-01-14,1.0
2010-01-15,1.0
2010-01-19,1.0
2010-01-20,1.0
2010-01-21,1.0
2010-01-22,1.0
2010-01-25,1.0
2010-01-26,1.0
2010-01-27,1.0
2010-01-28,1.0
2010-01-29,1.0
2010-02-01,1.0218728954630683
2010-02-02,1.0379556909381165
2010-02-03,1.0323421902475696
2010-02-04,0.9925168422551974
2010-02-05,0.9916068777418153
2010-02-08,0.9858129981211043
2010-02-09,1.001317179585943
2010-02-10,1.0007889027521675
2010-02-11,1.0151117016968914
2010-02-12,1.0116001518604276
2010-02-16,1.0355425869786272
2010-02-17,1.0417951588949068
2010-02-18,1.0531960286570057
2010-02-19,1.0542510554731042
2010-02-22,1.0537799434692925
2010-02-23,1.0400514917811714
2010-02-24,1.0495283169124288
2010-02-25,1.0510131327203323
2010-02-26,1.0569313970848098
2010-03-01,1.0781654258727644
2010-03-02,1.0857515565444282
2010-03-03,1.0876008122274872
2010-03-04,1.0901488799438046
2010-03-05,1.1103861831993405
2010-03-08,1.113249907017226
2010-03-09,1.1142039493041997
2010-03-10,1.1223626933283208
2010-03-11,1.1307728922550584
2010-03-12,1.131362305333294
2010-03-15,1.124121898167351
2010-03-16,1.137510912660322
2010-03-17,1.1489019347539124
2010-03-18,1.142446773459187
2010-03-19,1.1282909318213845
2010-03-22,1.147781027575032
2010-03-23,1.1622879453951815
2010-03-24,1.1546316173064366
2010-03-25,1.1508155395653683
2010-03-26,1.1529484079857917
2010-03-29,1.1637268947295236
2010-03-30,1.1634389433219334
2010-03-31,1.154698016494326
2010-04-01,1.1668640427110053
2010-04-05,1.1875283359780229
2010-04-06,1.1913532371547164
2010-04-07,1.1815302710774864
2010-04-08,1.1872987023341461
2010-04-09,1.196209691782288
2010-04-12,1.2015639719785662
2010-04-13,1.2038578872995127
2010-04-14,1.2245686935308853
2010-04-15,1.2257677308661914
2010-04-16,1.2010209102325724
2010-04-19,1.1984213352040138
2010-04-20,1.2224926952042872
2010-04-21,1.2263430781131424
2010-04-22,1.2423206029317124
2010-04-23,1.2557608356768117
2010-04-26,1.2535546680261442
2010-04-27,1.2126132039009199
2010-04-28,1.2183932098036192
2010-04-29,1.2396821525799144
2010-04-30,1.2079502421943402
2010-05-03,1.2353314389900267
2010-05-04,1.1953312020549
2010-05-05,1.1789568855458625
2010-05-06,1.129625664167247
2010-05-07,1.104735371048315
2010-05-10,1.1734879400177023
2010-05-11,1.1745623885583776
2010-05-12,1.2052083945659935
2010-05-13,1.1924493979204254
2010-05-14,1.161533921310083
2010-05-17,1.160846599227947
2010-05-18,1.1376991123554656
2010-05-19,1.126527033221568
2010-05-20,1.0707978881901337
2010-05-21,1.1004656228579228
2010-05-24,1.0849267346959246
2010-05-25,1.0879440866352328
2010-05-26,1.0881796916289683
2010-05-27,1.1385855951561914
2010-05-28,1.1234144256838823
2010-06-01,1.0913970959746122
2010-06-02,1.1276990780788254
2010-06-03,1.1378045430573118
2010-06-04,1.0823536415467114
2010-06-07,1.0569336977238084
2010-06-08,1.0694333087769803
2010-06-09,1.070934473351043
2010-06-10,1.1091273356916267
2010-06-11,1.1265415320632386
2010-06-14,1.1336622065058783
2010-06-15,1.1643805399308027
2010-06-16,1.1679796235919435
2010-06-17,1.1713736264536179
2010-06-18,1.1714465329975958
2010-06-21,1.1636259996951577
2010-06-22,1.1369669408545091
2010-06-23,1.1368674301614716
2010-06-24,1.1138770718890807
2010-06-25,1.1259780725903983
2010-06-28,1.122572083373497
2010-06-29,1.0718140625176438
2010-06-30,1.062241006912381
2010-07-01,1.055176735813897
2010-07-02,1.0452727335923728
2010-07-06,1.0481542089059785
2010-07-07,1.088991418904735
2010-07-08,1.0996590538215236
2010-07-09,1.1123468152178546
2010-07-12,1.1083894457760728
2010-07-13,1.1340870019813856
2010-07-14,1.1357458950100723
2010-07-15,1.1320400976943807
2010-07-16,1.0942362380972468
2010-07-19,1.0976367673731162
2010-07-20,1.1117589227648914
2010-07-21,1.0961659170825209
2010-07-22,1.1280501886882424
2010-07-23,1.1461519333741907
2010-07-26,1.167002797216405
2010-07-27,1.1593833871112527
2010-07-28,1.1475467638894061
2010-07-29,1.1452673458775409
2010-07-30,1.1497995458323043
2010-08-02,1.1706742324799462
2010-08-03,1.164206352807205
2010-08-04,1.1664626769742028
2010-08-05,1.1606893393566606
2010-08-06,1.1584648735770906
2010-08-09,1.1684401630168497
2010-08-10,1.160023205967477
2010-08-11,1.1247064525557187
2010-08-12,1.1206451954386742
2010-08-13,1.1192807545718084
2010-08-16,1.1208382102830752
2010-08-17,1.1371390105145054
2010-08-18,1.1418200386714417
2010-08-19,1.1233638576191143
2010-08-20,1.1267769745446177
2010-08-23,1.1165129362097292
2010-08-24,1.09746055356975
2010-08-25,1.103211454412335
2010-08-26,1.09795869507598
2010-08-27,1.121821143663533
2010-08-30,1.1002049872967765
2010-08-31,1.1013100321097333
2010-09-01,1.1361677805368475
2010-09-02,1.14771359453828
2010-09-03,1.1650794674059695
2010-09-07,1.1510937377300607
2010-09-08,1.158039842027468
2010-09-09,1.1528149613240735
2010-09-10,1.153663399918587
2010-09-13,1.1705778118755137
2010-09-14,1.1731249231309686
2010-09-15,1.1774774974923028
2010-09-16,1.1754180564473387
2010-09-17,1.1751891770193164
2010-09-20,1.1950832024524078
2010-09-21,1.1937596724439532
2010-09-22,1.1835306847457965
2010-09-23,1.1803524868331128
2010-09-24,1.2080744676725481
2010-09-27,1.2042340603751707
2010-09-28,1.2140548623040828
2010-09-29,1.213389483651587
2010-09-30,1.2082991597893087
2010-10-01,1.2099846129479466
2010-10-04,1.2046349892299284
2010-10-05,1.2297998338787426
2010-10-06,1.2177900347457293
2010-10-07,1.2196161032621884
2010-10-08,1.229538658280379
2010-10-11,1.2281678138968402
2010-10-12,1.2369748739095652
2010-10-13,1.2452675940158027
2010-10-14,1.244253090900561
2010-10-15,1.2465573625675848
2010-10-18,1.248602455001993
2010-10-19,1.228921162686783
2010-10-20,1.2450417656760966
2010-10-21,1.246465654180829
2010-10-22,1.2581400775289093
2010-10-25,1.2629995954668183
2010-10-26,1.2661013767330795
2010-10-27,1.2679576950615463
2010-10-28,1.2701791947815897
2010-10-29,1.2752700823819956
2010-11-01,1.2734449501901253
2010-11-02,1.2877395907464593
2010-11-03,1.292709893324793
2010-11-04,1.3138124013807448
2010-11-05,1.3114299907775322
2010-11-08,1.3090910221962426
2010-11-09,1.299468400078795
2010-11-10,1.3037005010634712
2010-11-11,1.3007944736726982
2010-11-12,1.2838091999308827
2010-11-15,1.2844895991888803
2010-11-16,1.2624967479415066
2010-11-17,1.264975469997311
